transaction_id,customer_id,transaction_date,amount,transaction_type,channel,category,status,merchant_name,balance_after
TXN258908EDA6,CUST0164,2024-01-26 08:57:11,-44572.69,DEBIT,ONLINE,UTILITIES,SUCCESS,Merchant_65,408060.02
TXNC9DFADA484,CUST0029,2024-10-26 23:17:18,3436.25,TRANSFER,MOBILE,ENTERTAINMENT,SUCCESS,Merchant_57,108122.01
TXN7DADD789FD,CUST0007,2024-07-19 07:29:07,-31877.88,TRANSFER,ONLINE,GROCERIES,FAILED,Merchant_19,318480.49
TXN28F078B792,CUST0190,2024-02-19 05:38:59,-35766.67,CREDIT,BRANCH,EMI,SUCCESS,Merchant_14,239220.0
TXN7279B511AB,CUST0071,2024-09-28 22:17:12,71946.84,WITHDRAWAL,BRANCH,TRANSFER,SUCCESS,Merchant_15,175481.06
TXN478D8D51DF,CUST0063,2024-04-10 11:10:58,71583.91,WITHDRAWAL,ATM,TRANSFER,SUCCESS,Merchant_30,385233.24
TXNEA9E9B7802,CUST0058,2024-08-18 21:34:53,-16608.32,TRANSFER,MOBILE,SALARY,SUCCESS,Merchant_76,326956.9
TXN64EC4754DD,CUST0036,2024-07-28 00:45:42,89305.29,WITHDRAWAL,POS,TRANSFER,SUCCESS,Merchant_71,161310.34
TXN13B4206EF0,CUST0189,2024-08-10 14:56:00,11767.63,PAYMENT,BRANCH,ENTERTAINMENT,PENDING,Merchant_41,375777.23
TXN6638D0907B,CUST0027,2024-10-19 10:32:41,15703.33,PAYMENT,ONLINE,ENTERTAINMENT,FAILED,Merchant_14,324748.81
TXN217590FB75,CUST0174,2024-07-31 06:52:42,25249.95,DEBIT,BRANCH,SALARY,PENDING,Merchant_41,261699.76
TXND50BFDFE79,CUST0190,2024-09-01 20:33:50,69243.01,WITHDRAWAL,ATM,GROCERIES,SUCCESS,Merchant_35,411583.54
TXN1F124F8808,CUST0140,2024-01-17 05:53:32,23868.27,TRANSFER,MOBILE,UTILITIES,SUCCESS,Merchant_74,226298.8
TXN0BB44DE469,CUST0023,2024-07-31 07:39:14,22454.08,PAYMENT,ATM,TRANSFER,SUCCESS,Merchant_95,68942.8
TXNB7E2213554,CUST0152,2024-07-29 02:52:30,30440.19,TRANSFER,MOBILE,UTILITIES,PENDING,Merchant_58,243788.62
TXN600465F254,CUST0109,2024-12-18 11:00:29,46301.56,CREDIT,ATM,GROCERIES,SUCCESS,Merchant_7,332210.1
TXN863991644C,CUST0009,2024-10-10 07:18:00,41547.96,PAYMENT,ATM,ENTERTAINMENT,FAILED,Merchant_90,440108.13
TXN8D03E06AAE,CUST0008,2024-01-02 02:34:42,-27859.53,DEBIT,POS,GROCERIES,PENDING,Merchant_67,53453.46
TXN6DCBB9A6C8,CUST0024,2024-12-02 10:29:22,77603.47,WITHDRAWAL,POS,SALARY,PENDING,Merchant_74,198904.72
TXNF5DE9E9620,CUST0056,2024-06-04 14:50:16,56070.3,DEBIT,ONLINE,ENTERTAINMENT,SUCCESS,Merchant_75,159156.68
TXNFA91F9851C,CUST0060,2024-06-28 07:35:22,62682.04,PAYMENT,ONLINE,GROCERIES,SUCCESS,Merchant_91,425166.85
TXN739F0ABD43,CUST0130,2024-11-19 15:10:45,92158.75,PAYMENT,ATM,REFUND,SUCCESS,Merchant_70,410240.52
TXN1CCF08A178,CUST0155,2024-08-02 01:07:04,77441.53,WITHDRAWAL,ONLINE,ENTERTAINMENT,FAILED,Merchant_44,328248.78
TXN5358F1720B,CUST0007,2024-02-26 11:47:14,86075.84,TRANSFER,ATM,SALARY,SUCCESS,Merchant_3,424154.79
TXN9A04E3104A,CUST0144,2024-02-07 15:09:21,93133.2,WITHDRAWAL,MOBILE,RENT,PENDING,Merchant_14,67592.78
TXNEF49BC0017,CUST0051,2024-04-15 10:33:01,77120.89,DEBIT,ONLINE,SALARY,PENDING,Merchant_15,160079.0
TXND20DB46050,CUST0184,2024-01-31 22:06:25,98384.33,CREDIT,ONLINE,REFUND,PENDING,Merchant_98,70458.61
TXN55F0C6B82D,CUST0167,2024-06-20 23:40:12,-47409.11,DEBIT,MOBILE,ENTERTAINMENT,FAILED,Merchant_78,176194.25
TXNB389DE3273,CUST0180,2024-04-15 04:41:31,87761.36,CREDIT,ATM,SALARY,FAILED,Merchant_86,398255.12
TXN86AF14E643,CUST0140,2024-06-09 15:57:30,55299.21,TRANSFER,ONLINE,ENTERTAINMENT,SUCCESS,Merchant_86,128975.19
TXN5D4D385017,CUST0108,2024-07-19 18:31:28,40024.39,DEBIT,ONLINE,REFUND,SUCCESS,Merchant_74,52185.14
TXNC96B2B2698,CUST0057,2024-11-25 05:59:02,-37440.6,CREDIT,POS,RENT,SUCCESS,Merchant_15,75939.22
TXN64283DF4AE,CUST0115,2024-02-10 14:48:52,94425.84,WITHDRAWAL,ATM,EMI,SUCCESS,Merchant_88,337828.92
TXN9F52A672D9,CUST0151,2024-11-01 17:57:08,,CREDIT,ATM,EMI,SUCCESS,Merchant_24,53787.93
TXNC35AD53DAC,CUST0072,2024-03-28 22:53:31,71917.06,TRANSFER,ATM,REFUND,FAILED,Merchant_21,65293.77
TXN75ACE6FA61,CUST0002,2024-11-22 02:53:38,-38866.13,DEBIT,ATM,ENTERTAINMENT,PENDING,Merchant_99,40961.16
TXNC1CA3003CD,CUST0195,2024-05-06 18:42:58,-20793.01,DEBIT,POS,RENT,SUCCESS,Merchant_50,234233.32
TXN0D4795BBAF,CUST0041,2024-08-29 18:33:48,36473.12,PAYMENT,BRANCH,RENT,PENDING,Merchant_53,424241.83
TXN4E2EF4D04E,CUST0179,2024-03-12 17:36:10,-25520.99,PAYMENT,POS,SALARY,SUCCESS,Merchant_50,68062.27
TXN274CB3F02B,CUST0109,2024-12-22 22:47:19,-29784.63,TRANSFER,BRANCH,TRANSFER,FAILED,Merchant_56,155243.4
TXN0B2A63E1FB,CUST0088,2024-06-02 05:11:22,34380.64,PAYMENT,ATM,EMI,FAILED,Merchant_13,405300.58
TXNB8F5DAE41F,CUST0072,2024-08-31 08:14:34,91301.87,PAYMENT,POS,REFUND,PENDING,Merchant_99,115097.58
TXN21C828CB3A,CUST0040,2024-05-26 05:31:49,65750.35,PAYMENT,MOBILE,GROCERIES,SUCCESS,Merchant_53,264509.92
TXN37CFBC473C,CUST0056,2024-04-12 22:13:32,-10222.03,TRANSFER,BRANCH,ENTERTAINMENT,SUCCESS,Merchant_14,478275.21
TXN426A05B2ED,CUST0196,2024-07-31 00:17:48,49858.8,WITHDRAWAL,POS,GROCERIES,SUCCESS,Merchant_14,462542.74
TXN19A859B666,CUST0087,2024-06-12 23:03:01,91550.39,CREDIT,BRANCH,UTILITIES,PENDING,Merchant_74,264300.97
TXNE2A34F4999,CUST0027,2024-08-27 09:53:59,74026.56,PAYMENT,ATM,ENTERTAINMENT,PENDING,Merchant_28,216853.89
TXN4EEA38F0CA,CUST0024,2024-09-14 13:10:23,21700.07,PAYMENT,ONLINE,GROCERIES,SUCCESS,Merchant_40,290860.12
TXN9D99418774,CUST0098,2024-07-28 02:17:12,51433.37,CREDIT,ONLINE,UTILITIES,FAILED,Merchant_23,407304.85
TXNE8BBE3A7D1,CUST0025,2024-08-27 18:38:49,90345.07,WITHDRAWAL,BRANCH,REFUND,SUCCESS,Merchant_57,381091.55
TXNB2CBEA4A1C,CUST0092,2024-11-08 12:57:57,20677.7,PAYMENT,MOBILE,ENTERTAINMENT,PENDING,Merchant_41,297926.22
TXN2077156B7A,CUST0089,2024-12-21 09:42:18,4482.32,PAYMENT,MOBILE,SALARY,FAILED,Merchant_52,414326.82
TXNFAC2DB2AA0,CUST0155,2024-04-06 16:37:20,33350.7,PAYMENT,ATM,ENTERTAINMENT,SUCCESS,Merchant_84,131947.71
TXN7CACAB745A,CUST0068,2024-09-28 10:02:26,7803.53,CREDIT,BRANCH,EMI,FAILED,Merchant_98,103978.03
TXN60B45B72EE,CUST0012,2024-08-13 22:29:08,57452.2,PAYMENT,MOBILE,RENT,FAILED,Merchant_73,145888.08
TXNC8FC61A313,CUST0187,2024-06-02 17:22:49,-11767.01,PAYMENT,MOBILE,SALARY,SUCCESS,Merchant_89,251552.31
TXNC5E38BCC5F,CUST0118,2024-09-27 11:39:27,-48964.24,DEBIT,ONLINE,GROCERIES,SUCCESS,Merchant_76,17179.4
TXN1A5DAA3914,CUST0138,2024-08-28 05:15:29,9913.98,DEBIT,MOBILE,UTILITIES,FAILED,Merchant_6,159929.33
TXN803BA85532,CUST0032,2024-08-01 10:11:49,-39756.01,WITHDRAWAL,BRANCH,ENTERTAINMENT,SUCCESS,Merchant_67,72202.71
TXNC4250F6A39,CUST0097,2024-06-20 00:19:41,87720.87,CREDIT,ATM,REFUND,SUCCESS,Merchant_70,242185.48
TXN231E99A800,CUST0021,2024-05-01 00:28:10,92088.76,CREDIT,BRANCH,GROCERIES,SUCCESS,Merchant_79,169147.71
TXNBE1E132972,CUST0142,2024-12-27 07:06:56,-22803.04,TRANSFER,ATM,REFUND,SUCCESS,Merchant_1,43713.54
TXN0DCF88CBEB,CUST0076,2024-07-15 19:00:08,12177.09,TRANSFER,ONLINE,REFUND,PENDING,Merchant_28,491981.41
TXN3827305C51,CUST0161,2024-05-28 00:41:28,96450.67,PAYMENT,ONLINE,SALARY,SUCCESS,Merchant_22,197143.17
TXN10144265D7,CUST0159,2024-08-08 06:53:11,-30303.77,CREDIT,MOBILE,ENTERTAINMENT,SUCCESS,Merchant_37,37346.35
TXNDA7D891457,CUST0093,2024-05-01 07:18:57,-45076.25,WITHDRAWAL,POS,ENTERTAINMENT,SUCCESS,Merchant_91,303680.25
TXN96A7E98A8F,CUST0148,2024-09-24 11:02:52,-15567.1,CREDIT,BRANCH,ENTERTAINMENT,SUCCESS,Merchant_4,104673.87
TXNF903D18FA2,CUST0050,2024-12-12 14:55:08,-41068.17,CREDIT,MOBILE,TRANSFER,SUCCESS,Merchant_82,105532.8
TXNB1FCE4F887,CUST0181,2024-12-02 14:31:48,8249.45,DEBIT,ONLINE,SALARY,SUCCESS,Merchant_45,248059.12
TXN34B968F614,CUST0018,2024-02-05 01:37:06,99496.14,WITHDRAWAL,ATM,EMI,PENDING,Merchant_59,130188.26
TXNA61FF592DF,CUST0012,2024-05-07 02:54:18,5589.75,TRANSFER,POS,REFUND,SUCCESS,Merchant_64,168224.28
TXNEEA26D0459,CUST0170,2024-05-12 03:41:09,-38985.19,WITHDRAWAL,BRANCH,GROCERIES,FAILED,Merchant_20,80739.24
TXN80AB0B1CE3,CUST0059,2024-08-16 11:50:23,-2299.87,PAYMENT,POS,EMI,SUCCESS,Merchant_8,162239.72
TXN0D94D711DC,CUST0198,2024-04-11 10:44:10,51066.13,PAYMENT,BRANCH,REFUND,FAILED,Merchant_44,122684.92
TXNC45BA3FF87,CUST0075,2024-05-01 18:33:02,-24797.25,CREDIT,MOBILE,EMI,SUCCESS,Merchant_61,223648.2
TXN88BDAC91A8,CUST0021,2024-11-08 01:54:06,-32318.05,WITHDRAWAL,ATM,ENTERTAINMENT,PENDING,Merchant_83,498796.44
TXNCDBA70C304,CUST0060,2024-09-13 06:46:31,14743.25,PAYMENT,POS,GROCERIES,SUCCESS,Merchant_62,221274.92
TXNF98962F9CF,CUST0026,2024-01-20 03:30:51,74719.36,PAYMENT,ATM,UTILITIES,PENDING,Merchant_81,32895.84
TXN4483591A7D,CUST0098,2024-02-12 23:17:43,-40479.14,WITHDRAWAL,ONLINE,ENTERTAINMENT,PENDING,Merchant_67,309648.05
TXNA84A87CDF2,CUST0072,2024-02-18 04:51:09,-37719.68,PAYMENT,POS,RENT,SUCCESS,Merchant_98,70461.85
TXN3BB829BB22,CUST0117,2024-08-26 08:04:17,-31784.18,TRANSFER,POS,GROCERIES,FAILED,Merchant_8,15124.97
TXNDC61C58099,CUST0163,2024-02-22 08:07:33,59479.72,PAYMENT,ONLINE,EMI,FAILED,Merchant_32,37966.16
TXNCA7DB8462D,CUST0094,2024-10-07 13:05:03,79521.94,CREDIT,ONLINE,TRANSFER,FAILED,Merchant_8,469521.94
TXNF949D659A4,CUST0042,2024-08-20 16:05:33,56568.34,DEBIT,POS,TRANSFER,SUCCESS,Merchant_43,176233.86
TXN06FE009958,CUST0095,2024-09-20 21:36:49,66987.03,PAYMENT,POS,EMI,SUCCESS,Merchant_3,4024.5
TXND95A18B03F,CUST0091,2024-03-11 03:08:27,81220.24,CREDIT,POS,SALARY,SUCCESS,Merchant_95,436765.82
TXN8BCD5C34C4,CUST0054,2024-01-23 18:04:49,42187.17,DEBIT,BRANCH,GROCERIES,PENDING,Merchant_31,213797.62
TXN6C02F6461D,,2024-11-24 02:16:44,41305.08,WITHDRAWAL,ONLINE,RENT,SUCCESS,Merchant_22,223594.0
TXN84A04DB49A,CUST0069,2024-09-23 23:31:22,-16752.2,WITHDRAWAL,MOBILE,RENT,SUCCESS,Merchant_42,22640.29
TXN6F2971CCF7,CUST0180,2024-10-30 07:52:34,-41106.91,PAYMENT,MOBILE,GROCERIES,FAILED,Merchant_79,93154.16
TXNEB0CD6583D,CUST0175,2024-07-04 13:00:55,-1318.08,CREDIT,ONLINE,REFUND,SUCCESS,Merchant_93,204105.89
TXN07A7AD93FC,CUST0166,2024-05-20 07:42:35,37557.48,TRANSFER,ATM,ENTERTAINMENT,SUCCESS,Merchant_30,43634.45
TXNAB0CF4BF5F,CUST0019,2024-04-05 16:34:54,61831.0,DEBIT,ATM,SALARY,SUCCESS,Merchant_40,461707.49
TXN3663F529A8,CUST0156,2024-09-27 16:25:33,65347.93,PAYMENT,POS,TRANSFER,PENDING,Merchant_47,7789.86
TXN124D3CE26A,CUST0163,2024-12-26 16:33:42,37121.37,WITHDRAWAL,ONLINE,TRANSFER,SUCCESS,Merchant_86,481289.57
TXNDD36DC17D5,CUST0044,2024-05-28 03:44:37,87291.3,TRANSFER,ATM,GROCERIES,SUCCESS,Merchant_92,392109.66
TXN5D5A70D34D,CUST0137,2024-12-11 07:30:51,-41064.86,CREDIT,POS,UTILITIES,PENDING,Merchant_51,102034.64
TXNF46C304A65,CUST0187,2024-09-26 19:41:41,68204.57,PAYMENT,BRANCH,ENTERTAINMENT,FAILED,Merchant_22,434166.11
TXN9684317CCB,CUST0063,2024-01-18 06:39:44,-16825.74,PAYMENT,ATM,UTILITIES,PENDING,Merchant_41,355203.46
TXN42A6D0248B,CUST0042,2024-05-16 09:59:24,68606.93,TRANSFER,MOBILE,GROCERIES,SUCCESS,Merchant_6,491493.79
TXN1DC73FCF29,CUST0119,2024-02-14 00:51:27,72399.12,DEBIT,BRANCH,UTILITIES,SUCCESS,Merchant_25,312992.63
